UNcode,CountryName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
226,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,15,15,15
232,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,42,42,10,0,0,0,0,0,0,0,0
233,Estonia,0,0,0,0,0,0,0,0,401,1232,936,1337,693,330,417,315,272,260,260,200,225,467,257,372,252,555,703,772,813,654,573,388,371
231,Ethiopia,0,0,0,0,0,0,0,0,1,33,36,36,22,28,33,55,38,24,14,15,15,15,15,15,25,25,25,25,25,25,25,25,38
238,Falkland Is.(Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,2,2,0,0,0,0,0
234,Faroe Islands,222,445,360,390,513,1620,2520,4523,5260,8131,13076,18283,19098,18752,15332,8611,17584,22538,20436,42544,34823,49167,56102,62746,46077,23455,18574,30699,46673,59295,47575,60473,76564
242,"Fiji, Republic of",0,0,0,0,6,7,10,10,12,18,23,29,88,165,167,180,235,345,298,1758,1779,1717,401,144,99,99,428,180,228,230,208,186,200
246,Finland,4921,5698,6334,7746,9586,10166,11006,12689,16367,18550,18550,19271,17909,17526,16682,17345,17659,16426,16024,15449,15400,15739,15132,12558,12821,14355,12891,13025,13439,13627,11772,11275,12659
250,France,207039,200250,192707,196288,192609,226897,243671,231888,227534,225079,256647,245041,250202,277253,280867,280686,285464,287181,267790,264825,266770,251620,251720,239564,242130,244880,237343,237416,238196,233875,224400,206875,204860
254,French Guiana,0,0,0,0,2,15,36,71,63,89,83,83,0,0,0,0,0,7,18,31,31,37,38,37,37,37,37,35,35,35,35,35,35
258,French Polynesia,6,6,13,7,22,39,37,39,66,89,88,80,71,77,71,61,67,56,54,49,52,66,65,60,65,75,64,46,44,39,39,61,81
266,Gabon,0,0,0,0,2,2,3,3,2,2,2,3,5,8,28,39,62,57,158,558,558,102,83,80,80,78,126,124,124,140,160,160,160
270,Gambia,0,0,0,0,0,0,0,0,0,53,60,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,75,25,25,25,25,33,33
268,Georgia,0,0,0,0,0,0,0,0,1273,630,607,2660,1045,580,228,157,101,61,96,83,86,80,52,56,72,72,75,180,466,470,470,650,650
276,Germany,38789,35543,52616,70965,97785,61134,70235,66828,72005,66618,64435,74692,96654,69500,48852,64096,83237,65433,73020,79567,65891,53409,49852,74280,57233,44685,35379,44994,43977,38907,40694,39141,26280
288,Ghana,289,306,329,353,450,357,359,386,427,330,360,410,430,465,500,550,550,400,1800,2900,5000,6000,6000,938,950,1154,2270,3820,5594,7154,10200,19092,27450
300,Greece,1963,2065,2110,2260,2542,2377,2296,2741,4087,4737,9523,12615,20306,32578,33182,32644,39852,48838,59926,84274,95418,97512,87928,101434,97143,106208,113384,113297,115068,122011,121244,137214,137594
308,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
312,Guadeloupe,0,0,8,10,40,31,35,40,42,44,42,44,35,40,26,30,30,20,14,20,14,14,23,31,31,10,12,15,18,7,11,12,12
316,Guam,4,11,45,37,47,85,142,180,198,210,212,176,187,211,215,216,220,220,220,230,232,232,233,160,160,160,162,162,162,141,129,111,111
320,Guatemala,0,8,9,12,61,459,528,651,920,713,904,831,1235,3286,4393,3675,3421,4407,3124,4850,3963,5100,7978,6346,4908,9008,16293,16400,18727,16623,22792,21468,17743
324,Guinea,0,0,0,0,3,3,2,2,1,1,1,1,5,5,5,4,4,0,0,0,0,0,2,2,2,100,110,110,170,177,185,200,250
328,Guyana,0,0,0,14,17,27,65,70,43,35,50,65,85,140,210,230,250,270,300,606,605,608,608,608,608,608,660,660,292,511,488,263,261
332,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,32,32,32,162,162,225,360,600,720
340,Honduras,86,127,190,268,581,465,985,2049,2845,3318,3401,4175,5707,8341,8990,7241,10295,9472,8080,8789,10053,13386,16957,23547,27036,49249,55356,54689,47080,28858,27509,36960,34854
348,Hungary,22570,26330,26180,27790,16473,18315,16997,17948,17970,20548,17600,14434,14230,9492,9899,9360,8080,9334,10222,11947,12886,13056,11574,11870,12744,13661,14686,15864,15687,14825,14245,15584,15133
352,Iceland,43,59,80,107,137,103,273,643,1209,1677,2829,2873,2524,2917,3222,3485,3687,3663,3868,3897,3623,4371,3585,6214,8868,8256,8241,4823,5098,5165,5050,5306,7431
356,India,365180,406622,452939,504733,572000,633250,686260,788310,893330,1004500,1017136,1225261,1395444,1416702,1519528,1658807,1758739,1864322,1908485,2134814,1942531,2120466,2188789,2315771,2798686,2967378,3180863,3112240,3851057,3791920,3785779,3673082,4209415
360,Indonesia,182522,222179,220848,246429,270764,301409,334090,376727,414597,447897,499824,517507,550368,600414,601522,641092,733098,662547,629797,749269,788500,864276,914071,996659,1045051,1197109,1292899,1392901,1690221,1733434,2304828,2718421,3067660
364,Iran (Islamic Rep. of),9263,11197,13356,15368,18369,17776,20930,24820,26400,26000,27147,20226,21806,21882,25899,28636,29977,30279,33237,31800,40550,62550,76817,91714,104330,111761,129468,158549,154726,179552,220034,247262,296575
368,Iraq,3622,3774,3899,3997,4476,4441,4564,5250,5000,3000,1600,1750,4750,4000,4100,2600,2500,3400,7500,2183,1745,2000,2000,2000,13947,17941,14867,15810,19246,18732,20320,16290,25040
372,Ireland,5639,5811,6982,7078,15322,11964,12741,18693,18327,20790,26673,27749,27157,30158,28615,27366,34925,36854,42375,43856,51247,60940,62568,62516,58359,60050,53122,57101,44868,47512,46487,44263,36094
376,Israel,11391,11263,11260,11024,11514,12954,12289,14027,15135,14593,14638,15102,12211,13604,14984,16180,17553,18264,18556,18777,20098,21318,22256,20776,22303,22409,22117,21434,20017,19177,19895,20107,19743
380,Italy,74640,83584,87547,89848,96900,104301,107130,110616,131499,132971,148744,170193,165377,161320,171421,209725,184373,190719,205625,207368,213525,218330,184285,191884,118217,181101,172793,179409,149003,162432,153494,164151,162618
388,Jamaica,20,32,135,148,355,850,1462,2201,2772,3092,3404,3140,3240,3340,3440,3550,3500,3450,3410,4150,4512,4512,6150,2969,4495,5670,8019,5616,5948,5182,4050,1150,649
392,Japan,572938,570474,608442,633523,629454,660943,692762,739121,806754,784580,804293,803412,818330,832992,781027,820124,829354,806534,766812,759262,762824,800346,827115,824057,776585,746372,734100,770434,730361,786910,718284,556761,633047
400,Jordan,0,0,15,15,30,45,65,70,70,55,60,20,22,60,86,170,181,200,293,515,569,540,515,650,487,561,560,509,540,440,541,575,580
398,Kazakhstan,0,0,0,0,0,0,0,0,7034,9050,9450,13382,3379,2928,1161,1948,1682,1921,1106,1193,813,309,778,820,188,123,256,170,206,303,224,250,250
404,Kenya,160,160,195,201,207,213,224,210,561,972,1236,1178,1136,1145,1385,1302,579,199,153,300,512,1009,798,1012,1035,1047,1012,4240,4452,4895,12154,22135,21488
296,Kiribati,0,0,0,0,13,15,30,25,32,36,36,41,41,52,32,17,9,7,4,13,14,18,14,9,9,12,12,5,12,10,11,3,11
408,"Korea, Dem. People's Rep",9267,13605,17945,22285,23800,23900,34100,45000,50000,52000,55000,55000,60000,60000,77690,73946,80896,70174,68500,68500,66700,63700,63700,63700,63710,63780,63780,63850,63950,64050,64050,64050,64050
410,"Korea, Republic of",286757,321757,287274,298102,295661,393042,428212,477455,457057,404493,376683,342439,375507,392175,342785,368155,358046,392367,327462,304036,293420,294484,296783,387791,405748,436571,513568,606122,473794,473060,475561,507052,484404
414,Kuwait,0,0,0,0,0,2,3,5,8,10,0,0,0,0,0,90,90,204,220,264,376,195,195,366,375,327,568,348,310,310,310,310,310
417,Kyrgyzstan,0,0,0,0,0,0,0,0,1108,1135,982,974,642,223,163,207,185,168,162,71,58,144,94,12,20,20,20,107,92,133,352,395,297
418,Lao People's Dem. Rep.,1408,1680,1984,2328,2500,4000,5000,6000,7000,8000,10000,10500,10760,11000,11200,12880,16000,21143,21216,30362,42066,50000,59716,64900,64900,60000,60000,63250,64300,75001,82100,95600,101895
428,Latvia,0,0,0,0,0,0,0,0,2926,6288,2235,2685,641,339,560,525,380,345,425,468,325,463,430,637,545,542,565,729,584,517,549,546,575
422,Lebanon,40,70,120,200,300,300,375,200,100,100,80,80,130,180,200,300,350,300,400,300,400,300,790,795,795,813,813,818,975,1080,1180,1280,1280
426,Lesotho,23,15,19,20,13,23,25,26,30,25,20,15,17,18,18,14,14,14,8,4,8,8,8,4,2,1,2,131,91,108,300,300,400
430,Liberia,0,0,35,9,7,8,6,3,2,3,0,0,0,0,0,0,0,0,0,0,22,14,14,14,13,13,13,13,16,16,20,20,30
434,Libya,0,0,0,0,0,0,0,30,30,50,70,70,80,80,90,100,100,100,100,100,100,100,0,0,241,241,240,240,240,240,240,240,240
440,Lithuania,0,0,0,0,0,0,0,0,3752,4580,4666,4792,3899,2907,1874,1714,1537,1516,1516,1650,1996,2001,1750,2356,2697,2013,2224,3377,3008,3422,3191,3280,3582
807,"Macedonia, Fmr Yug Rp of",0,0,0,0,0,0,0,0,0,0,0,0,899,752,744,829,526,538,652,1170,1217,787,763,864,959,843,588,1041,1287,1540,1491,1368,1306
450,Madagascar,53,92,127,168,190,284,181,194,231,230,280,198,1615,2289,3295,4712,5075,8582,4503,5811,7280,7749,9713,9467,8803,9396,11234,11293,10836,6116,6886,8845,8588
454,Malawi,70,82,107,143,123,180,188,203,215,217,197,223,223,255,225,226,240,231,229,590,530,568,642,666,733,812,1500,1500,1700,1620,2631,2833,3232
458,Malaysia,125334,73262,57185,46528,67777,51875,52107,46486,47345,53647,52919,64845,79700,105241,114112,132745,109063,107984,133635,155127,151773,158158,165119,167160,171270,175834,168317,178239,243281,333644,373351,287276,283780
466,Mali,0,0,0,0,3,6,10,12,17,13,13,31,40,52,100,100,60,60,60,80,30,500,1008,1008,1008,1008,1000,640,821,1355,2083,2083,987
470,Malta,0,0,0,0,0,0,0,0,0,0,3,200,500,650,904,904,1552,1800,1950,2002,1746,1235,1116,887,868,736,1936,2716,2702,2868,2916,2156,4066
474,Martinique,0,0,6,13,27,35,50,61,53,75,87,97,103,114,117,77,58,66,55,60,51,51,80,100,110,92,103,80,81,85,82,50,24
480,Mauritius,16,25,30,24,42,53,50,72,73,82,78,86,100,110,142,176,165,118,83,85,87,59,56,33,350,400,443,175,246,437,568,537,514
175,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,0,213,170,164,140,128,114,126,76,44,85
484,Mexico,8626,11089,12512,13679,10465,11230,13523,15907,17121,18249,22348,24972,26576,28068,31667,25580,31339,39500,41068,48443,53918,76063,73670,84470,104348,133131,154451,140062,159309,156957,126238,137130,143747
583,"Micronesia, Fed.States of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,"Moldova, Republic of",0,0,0,0,0,0,0,0,7146,6756,7141,5124,2935,2275,1212,1401,1067,1202,1129,815,1710,1709,2335,3408,5650,6300,6800,7500,7800,8300,8800,9300,9500
499,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,361,614,565,740,840,840
504,Morocco,98,105,117,128,180,160,148,154,158,159,415,659,741,1193,1463,2072,2084,2329,2161,2793,1889,1403,1670,1538,1718,2257,1161,1636,1399,1477,1522,1397,1473
508,Mozambique,0,0,0,0,0,0,5,17,20,20,15,15,12,10,116,36,4,0,0,0,0,0,677,409,446,1222,1048,838,692,490,864,796,604
104,Myanmar,2790,3120,3460,3840,3951,5054,5805,5493,5673,6947,7087,8822,25954,51676,64584,71700,71508,82740,81968,91114,98912,121266,190120,252010,400360,485220,574990,604660,674776,778096,850697,816820,885169
516,Namibia,0,0,0,0,0,0,0,0,0,0,20,20,22,40,49,50,50,45,45,45,50,50,50,75,125,125,204,334,474,536,545,434,440
520,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
524,Nepal,1433,1714,2041,2271,1997,3265,4162,5435,5125,6836,9258,10314,10645,9532,9663,9918,10649,11977,12866,13028,15023,16570,17100,17680,20000,22480,25409,26679,27250,26730,28230,30950,34500
528,Netherlands,77052,109548,130371,119793,60319,116547,86496,99567,79163,108877,100997,51648,54105,71125,109379,83938,99871,98210,120094,108760,75231,57042,54429,66540,78598,71370,45553,56841,46896,55641,66945,43800,46149
530,Netherlands Antilles,0,0,0,0,0,0,0,21,10,10,10,10,5,5,5,4,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
540,New Caledonia,0,0,0,16,51,87,59,88,218,389,631,754,847,717,780,939,1061,1152,1596,1850,1765,1893,1918,1784,2290,2533,2365,1923,2103,1920,1220,1561,1663
554,New Zealand,3220,2998,6533,9720,10945,11835,16977,19366,27751,26985,28600,48700,51500,52501,51256,70391,74800,76850,93807,91650,85640,76024,86583,84641,92220,105302,107524,111908,112358,104958,110592,117266,100161
558,Nicaragua,0,0,0,17,17,27,36,48,74,74,74,74,60,326,1068,2310,2504,3486,4790,4205,5435,5750,6089,7005,7880,9983,11220,11533,16078,18943,16972,15766,24351
562,Niger,0,0,0,0,9,7,8,14,20,19,36,21,8,10,17,35,11,13,12,14,15,21,40,40,40,40,40,40,40,70,70,85,100
566,Nigeria,6028,6283,6559,6842,6519,7892,5456,6002,10631,25840,7347,15365,17088,17090,15030,16619,19491,24297,20458,21737,25718,24398,30663,30677,43950,56355,84578,85087,143207,152796,200535,221128,253898
580,Northern Mariana Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,16,21,24,25,26
578,Norway,7980,13042,15329,22712,25453,34617,49392,55379,88268,115191,150583,160705,131102,164499,218486,277615,321516,367617,410757,475932,491329,510748,551297,584423,636802,661877,712373,841560,848359,961840,1019802,1143893,1321119
