UNcode,CountryName,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
328,Guyana,50,10,3,3,17,6,2,2,,,,,,,,1347,740,1221,633,168,2099,1164,861,2474,2037,2317,2713,1063,1453,1426,1458,2665,1246,1627,1682,2550,2941
332,Haiti,1950,1727,2694,3118,4784,2050,3560,3650,6580,5760,5290,5790,5503,5650,5505,3570,3650,3960,3350,4213,4099,6709,8323,7990,5949,7085,4694,7912,8628,9827,16511,17014,21882,26519,20409,34609,32000
340,Honduras,1050,1525,1130,1437,1997,1955,1271,734,936,980,1803,1577,1860,1527,1421,2485,2313,6047,4590,5608,6152,9295,15218,15412,15960,13259,11556,11529,14590,14674,19254,19080,26634,21262,27113,26098,23153
348,Hungary,28327,42818,38765,32155,30283,31177,38623,45031,41457,34547,36870,42779,63603,54657,43733,27135,33322,31372,40985,46034,44688,46550,57314,39552,39442,49240,56204,56239,50561,70231,58043,59306,75208,64722,74057,82503,81012
352,Iceland,172,253,564,432,934,730,1912,1996,3711,4698,1607,3379,9011,13682,17056,13981,14232,23374,25209,40306,42540,32844,64900,80693,66753,55535,73174,69096,100308,86988,79616,99116,110060,73805,86006,119350,102277
356,India,256,363,475,665,5807,6433,,,,,,,,197,270,1439,1897,4638,6618,13744,11070,19111,33150,18913,15557,22264,37920,47447,47367,56147,47685,47146,57623,58822,88786,116757,80637
360,Indonesia,10118,10336,10914,8987,15013,38008,44820,33671,28324,22940,26315,26519,19376,30850,42777,47330,56145,99820,120674,101104,113427,106143,45688,62622,95075,91524,77148,73904,139789,102544,139465,115044,196151,229613,315758,401847,351463
364,Iran (Islamic Rep. of),19556,36973,26670,29003,44150,81515,37619,32156,35591,20883,20205,30870,20841,23610,14100,43490,56840,45700,32781,41208,56991,24213,52053,80746,35648,27245,29803,68999,31076,24431,12325,18074,26196,38016,86877,70610,64390
368,Iraq,,,,,,,,,,,,,,,,,,,,,1231,1104,650,1277,99,25,177,2659,9208,9537,21602,22286,31779,22608,43158,37278,42000
372,Ireland,15697,23110,27400,33073,41312,41500,41843,37208,34958,39964,50573,61546,67350,65215,100738,97999,94137,75609,76661,86905,104609,103410,109040,115853,110153,123998,130289,116070,132981,174295,207904,262769,251975,227428,239192,297143,308923
