Indicator_Code,Country_Code,Time_Code,Weights
NY.GNP.ATLS.CD                ,SWZ,YR2000    ,1448228480
NY.GNP.ATLS.CD                ,SYC,YR2000    ,593418752
NY.GNP.ATLS.CD                ,SYR,YR2000    ,15509696512
NY.GNP.ATLS.CD                ,TCD,YR2000    ,1507533696
NY.GNP.ATLS.CD                ,TGO,YR2000    ,1456223488
NY.GNP.ATLS.CD                ,THA,YR2000    ,1.22018E+11
NY.GNP.ATLS.CD                ,TJK,YR2000    ,1113145984
NY.GNP.ATLS.CD                ,TKM,YR2000    ,2965673472
NY.GNP.ATLS.CD                ,TMP,YR2000    ,312868512
NY.GNP.ATLS.CD                ,TON,YR2000    ,165501456
NY.GNP.ATLS.CD                ,TTO,YR2000    ,6755307520
NY.GNP.ATLS.CD                ,TUN,YR2000    ,19925940224
NY.GNP.ATLS.CD                ,TUR,YR2000    ,2.0121E+11
NY.GNP.ATLS.CD                ,TWN,YR2000    ,3.07921E+11
NY.GNP.ATLS.CD                ,TZA,YR2000    ,8994171904
NY.GNP.ATLS.CD                ,UGA,YR2000    ,6304403456
NY.GNP.ATLS.CD                ,UKR,YR2000    ,34349780992
NY.GNP.ATLS.CD                ,URY,YR2000    ,20337647616
NY.GNP.ATLS.CD                ,USA,YR2000    ,9.69654E+12
NY.GNP.ATLS.CD                ,UZB,YR2000    ,15430502400
NY.GNP.ATLS.CD                ,VCT,YR2000    ,316386080
NY.GNP.ATLS.CD                ,VEN,YR2000    ,1.04305E+11
NY.GNP.ATLS.CD                ,VIR,YR2000    ,1661159936
NY.GNP.ATLS.CD                ,VNM,YR2000    ,30203123712
NY.GNP.ATLS.CD                ,VUT,YR2000    ,221424864
NY.GNP.ATLS.CD                ,WBG,YR2000    ,5178229760
NY.GNP.ATLS.CD                ,WSM,YR2000    ,239397648
NY.GNP.ATLS.CD                ,YEM,YR2000    ,7282753024
NY.GNP.ATLS.CD                ,ZAF,YR2000    ,1.31025E+11
NY.GNP.ATLS.CD                ,ZAR,YR2000    ,4836093952
NY.GNP.ATLS.CD                ,ZMB,YR2000    ,3129425920
NY.GNP.ATLS.CD                ,ZWE,YR2000    ,5609247232
