STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,COMMENTS
SL.TLF.CACT.MA.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,"impossible to construct the variable weighting by LABPARTMAWEIGHT (it is impossible to download the variable and even then too many missing values), we have to weight by total population following the world bank method"
SL.TLF.CACT.FE.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,"impossible to construct the variable weighting by LABPARTFEWEIGHT (it is impossible to download the variable and even then too many missing values), we have to weight by total population following the world bank method"
RF.FERT.NI.TN.NO,,,,,,,sum,0.65,0,,
RF.FERT.NI.TN.SH,RF.FERT.NI.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,0.65,0,1000,from tonne/ha to kg/ha
RF.FERT.PH.TN.NO,,,,,,,sum,0.65,0,,
RF.FERT.PH.TN.SH,RF.FERT.PH.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,0.65,0,1000,from tonne/ha to kg/ha
RF.FERT.PO.TN.NO,,,,,,,sum,0.65,0,,
RF.FERT.PO.TN.SH,RF.FERT.PO.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,0.65,0,1000,from tonne/ha to kg/ha
RF.FERT.NIPH.TN.NO,,,,,,,sum,0.65,0,,
RF.FERT.NIPH.TN.SH,RF.FERT.NIPH.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,0.65,0,1000,from tonne/ha to kg/ha
RP.PEST.INS.TN.NO,,,,,,,sum,0.65,0,,
RP.PEST.MO.TN.NO,,,,,,,sum,0.65,0,,
RP.PEST.HE.TN.NO,,,,,,,sum,0.65,0,,
RP.PEST.FB.TN.NO,,,,,,,sum,0.65,0,,
RP.PEST.STF.TN.NO,,,,,,,sum,0.65,0,,
RP.PEST.STI.TN.NO,,,,,,,sum,0.65,0,,
RP.PEST.TOT.TN.NO,,,,manual,,,sum,0.65,0,,sum of all pesticides
RP.PEST.TOT.TN.SH,RP.PEST.TOT.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,0.65,0,1000,from tonne/ha to kg/ha
